questionId,sourceQuestionId,currentTopic,correctMasterTopicId,correctMasterTopicName,mappingStatus,mappingReason
"Q-00001","9676","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00002","9732","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00003","9733","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00004","9734","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00005","9737","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00006","9739","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00007","9740","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00008","9741","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00009","9743","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00010","9744","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00011","9958","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00012","9962","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00013","9963","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00014","9965","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00015","9969","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00016","9970","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00017","9971","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00018","9974","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00019","9975","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00020","9977","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00021","9978","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00022","9979","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00023","9980","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00024","10076","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00025","10087","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00026","10116","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00027","10117","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00028","10153","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00029","10155","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00030","10157","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00031","10158","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00032","10174","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00033","10178","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00034","10183","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00035","10191","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00036","10192","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00037","10197","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00038","10206","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00039","10208","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00040","10266","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00041","10267","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00042","10269","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00043","10321","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00044","10346","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00045","10354","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00046","10665","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00047","10673","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-00048","10674","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00049","10680","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Core examinable fact tests Amer/Jaipur Kachwaha dynasty rulers and achievements."
"Q-00050","9679","गुर्जर-प्रतिहार वंश",44,"गुर्जर-प्रतिहार वंश","CONFIDENT","Content verified: Core examinable fact tests Gurjara-Pratihara rulers, genealogy, and achievements."
"Q-00051","9776","गुर्जर-प्रतिहार वंश",44,"गुर्जर-प्रतिहार वंश","CONFIDENT","Content verified: Core examinable fact tests Gurjara-Pratihara rulers, genealogy, and achievements."
"Q-00052","9777","गुर्जर-प्रतिहार वंश",44,"गुर्जर-प्रतिहार वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 44 (गुर्जर-प्रतिहार वंश)."
"Q-00053","9778","गुर्जर-प्रतिहार वंश",44,"गुर्जर-प्रतिहार वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 44 (गुर्जर-प्रतिहार वंश)."
"Q-00054","9779","गुर्जर-प्रतिहार वंश",44,"गुर्जर-प्रतिहार वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 44 (गुर्जर-प्रतिहार वंश)."
"Q-00055","9780","गुर्जर-प्रतिहार वंश",44,"गुर्जर-प्रतिहार वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 44 (गुर्जर-प्रतिहार वंश)."
"Q-00056","9781","गुर्जर-प्रतिहार वंश",44,"गुर्जर-प्रतिहार वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 44 (गुर्जर-प्रतिहार वंश)."
"Q-00057","9874","गुर्जर-प्रतिहार वंश",44,"गुर्जर-प्रतिहार वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 44 (गुर्जर-प्रतिहार वंश)."
"Q-00058","9875","गुर्जर-प्रतिहार वंश",44,"गुर्जर-प्रतिहार वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 44 (गुर्जर-प्रतिहार वंश)."
"Q-00059","9876","गुर्जर-प्रतिहार वंश",44,"गुर्जर-प्रतिहार वंश","CONFIDENT","Content verified: Core examinable fact directly aligns with Master Topic 44 (गुर्जर-प्रतिहार वंश)."
"Q-00060","10019","गुर्जर-प्रतिहार वंश",44,"गुर्जर-प्रतिहार वंश","CONFIDENT","Content verified: Core examinable fact tests Gurjara-Pratihara rulers, genealogy, and achievements."
