id,masterTopic,originalTopic,exam,examYear,question
13393,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Lab Assistant Exam 2026 (Science),2026,राजस्थान के निम्नलिखित ज़िलों को पश्चिम से पूर्व दिशा में व्यवस्थित करें: a. धौलपुर b. जोधपुरc. जैसलमेर d. दौसाe. अजमेरनीचे दिए गए विकल्पों में से सबसे उपयुक्त उत्तर चुनें:
13394,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Lab Assistant Exam 2026 (Geography),2026,राजस्थान के निम्नलिखित जिलों को उनके क्षेत्रफल के अनुसार (बड़ा से छोटा) व्यवस्थित करें: a. नागौर b. पालीc. जोधपुर d. बाड़मेरe. चूरूनीचे दिए गए विकल्पों में से सबसे उपयुक्त उत्तर चुनें:
13395,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,SUB INSPECTOR COMB. COMP. EXAM - 2025 (6 April 2026),2026,राजस्थान के जिले और उसके आधिकारिक पशु/पक्षी शुभंकर के गलत युग्म का चयन करें:
13396,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Forester Exam 2026,2026,"ऋग्वेद में उल्लिखित प्राचीन क्षेत्रों के नामों में से, राजस्थान का निम्नलिखित में से कौन-सा भाग “मारू” से जुड़ा हुआ है?सबसे उपयुक्त विकल्प का चयन कीजिए।"
13397,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Lab Assistant Exam 2026 (Science),2026,स्वर्णगिरि राजस्थान के किस शहर का प्राचीन नाम है?
13398,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Lab Assistant Exam 2026 (Geography),2026,राजस्थान के सीमावर्ती राज्य हैं: a. उत्तर प्रदेश b. पंजाबc. गुजरात d. हिमाचल प्रदेशe. मध्य प्रदेशनीचे दिए गए विकल्पों में से सबसे उपयुक्त उत्तर चुनें:
13399,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,3rd Grade Teacher 2025 Sanskrit ( L-1 ),2025,राजस्थान के निम्नलिखित ज़िलों को पश्चिम से पूर्व के क्रम में व्यवस्थित करें: a. पाली b. बाड़मेरc. टोंक d. अजमेरनीचे दिए गए विकल्पों में से सबसे उपयुक्त उत्तर चुनें:
13400,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,3rd Grade Teacher 2025 Sanskrit ( L-1 ),2025,क्षेत्रफल के अनुसार राजस्थान का सबसे बड़ा और सबसे छोटा ज़िला है: (निम्न में से सबसे उपयुक्त विकल्प चुनें)
13401,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,3rd Grade Teacher 2025 Sanskrit ( L-2 ),2025,राजस्थान के निम्नलिखित शहरों को पश्चिम से पूर्व दिशा में व्यवस्थित करें।a. बाड़मेर b. बून्दीc. पाली d. राजसमंदनीचे दिए गए विकल्पों में से सबसे उपयुक्त उत्तर चुनें:
13402,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,3rd Grade Teacher 2025 Social Studies (L-2 ),2025,राजस्थान के ज़िल्लों को क्षेत्रफल के घटते क्रम में व्यवस्थित करें?a. अजमेर b. बीकानेरc. बाड़मेर d. जैसलमेरनीचे दिए गए विकल्पों में से सबसे उपयुक्त उत्तर चुनें:
