questionId,sourceQuestionId,currentTopic,correctMasterTopicId,correctMasterTopicName,mappingStatus,mappingReason
"Q-001","9676","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-002","9978","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-003","10267","आमेर का कछवाहा वंश",42,"आमेर का कछवाहा वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 42 (आमेर का कछवाहा वंश)."
"Q-004","9679","गुर्जर-प्रतिहार वंश",44,"गुर्जर-प्रतिहार वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 44 (गुर्जर-प्रतिहार वंश)."
"Q-005","10031","गुर्जर-प्रतिहार वंश",44,"गुर्जर-प्रतिहार वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 44 (गुर्जर-प्रतिहार वंश)."
"Q-006","9641","चौहान वंश",43,"चौहान वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 43 (चौहान वंश)."
"Q-007","9769","चौहान वंश",43,"चौहान वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 43 (चौहान वंश)."
"Q-008","10008","चौहान वंश",43,"चौहान वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 43 (चौहान वंश)."
"Q-009","10236","चौहान वंश",43,"चौहान वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 43 (चौहान वंश)."
"Q-010","9633","मेवाड़ का गुहिल_गुहिलोत वंश",41,"मेवाड़ का गुहिल/गुहिलोत वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 41 (मेवाड़ का गुहिल/गुहिलोत वंश)."
